waveform	Dev0/Ai6	Dev0/Ai14	[2]	[3]	[4]
t0	09.05.2018  17:14:25,326158	09.05.2018  17:14:25,326158	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000	01.01.1904  01:00:00,000000
delta t	5,000000E-5	5,000000E-5	1,000000	1,000000	1,000000

time	Dev0/Ai6	Dev0/Ai14	Y[2]	Y[3]	Y[4]
09.05.2018  17:14:25,332058	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332108	2,822919E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332158	2,365148E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332208	1,754788E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332258	1,602197E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332308	5,000000E+0	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332358	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332408	5,000000E+0	3,128099E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332458	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332658	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332708	2,670329E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332758	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332808	1,754788E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332858	1,602197E-3	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332908	2,365148E-3	2,975509E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,332958	2,670329E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333008	5,000000E+0	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333058	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333108	5,000000E+0	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333308	1,152056E-2	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333358	2,670329E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333408	1,449607E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333458	2,670329E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333508	2,212558E-3	1,602197E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333558	2,059968E-3	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333608	2,822919E-3	2,975509E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333658	5,000000E+0	3,128099E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333708	5,000000E+0	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333758	5,000000E+0	1,297017E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,333958	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334008	2,059968E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334058	2,212558E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334108	1,754788E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334158	2,670329E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334208	2,670329E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334258	1,602197E-3	1,144427E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334308	2,212558E-3	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334358	5,000000E+0	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334408	5,000000E+0	1,297017E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334458	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334658	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334708	2,975509E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334758	2,517739E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334808	2,059968E-3	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334858	2,059968E-3	2,288853E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334908	2,212558E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,334958	2,059968E-3	2,670329E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335008	5,000000E+0	1,907378E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335058	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335108	5,000000E+0	2,059968E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335158	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335208	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335258	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335308	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335358	1,602197E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335408	1,907378E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335458	2,212558E-3	1,756390E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335508	2,212558E-3	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335558	1,907378E-3	2,517739E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335608	1,907378E-3	3,433280E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335658	5,000000E+0	2,365148E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335708	5,000000E+0	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335758	5,000000E+0	4,501412E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335808	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335858	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335908	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,335958	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336008	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336058	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336108	2,059968E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336158	1,602197E-3	2,822919E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336208	2,059968E-3	1,297017E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336258	1,602197E-3	1,449607E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336308	2,059968E-3	8,392462E-4	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336358	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336408	5,000000E+0	1,144427E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336458	5,000000E+0	2,212558E-3	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336508	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336558	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336608	5,000000E+0	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336658	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336708	1,754788E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
09.05.2018  17:14:25,336758	2,365148E-3	5,000000E+0	0,000000E+0	7,450000E+1	1,000000E+0
